symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
GDX,316936,0.02283572938667623,0.019205862104960794,0.026920454607016253,True,0.0,0.0,True,True,316936,0.006389919683532346,0.0024373404900934073,0.01033318614973711,True,0.0003214633719328397,0.0004286178292437863,True,True,316936,-0.007738859601707442,-0.011321990676492259,-0.004334572985473629,False,1.31978244410913e-05,2.63956488821826e-05,True,False
GLD,316936,0.021771870705931014,0.018443750542442922,0.02511233163774188,True,0.0,0.0,True,True,316936,0.03612942512671661,0.03282140624000693,0.03941669393008422,True,0.0,0.0,True,True,316936,-0.032629051443510755,-0.036050133424968676,-0.02947655456937648,False,0.0,0.0,True,False
HYG,316926,0.08737045171380388,0.08307810827751681,0.0915282514182903,True,0.0,0.0,True,True,316926,0.017041683794943734,0.0132716695266472,0.021334218960878233,True,0.0,0.0,True,True,316926,-0.012457803807267336,-0.016129358745769637,-0.009099028220312916,False,2.3241408797503027e-12,7.747136265834342e-12,True,False
IBB,315705,0.02090612309579207,0.01718648242779064,0.024766543754572507,True,0.0,0.0,True,True,315705,0.0017029668253296807,-0.002226090574785601,0.005546277403459433,False,0.33864113382468086,0.3564643513944009,False,False,315705,0.0015217030307960841,-0.002255280522018022,0.0053511483746042044,False,0.392547820536594,0.43616424504066,False,False
IBIT,37736,0.013806129306817867,0.002997640334395068,0.023819863602067955,True,0.007318696542306213,0.007411338270689836,True,True,37736,-0.002698746364486436,-0.012379248101721928,0.0076160285615369085,False,0.6001147697635145,0.615502327962579,False,False,37736,-0.005358647697117375,-0.014996026652494126,0.004310020588822592,False,0.2979076554681557,0.3404658919636065,False,False
IEF,163029,0.029687419789962914,0.024645370029727783,0.03487547279064396,True,0.0,0.0,True,True,163029,0.023835101664011565,0.019025894964277517,0.02866270986419013,True,0.0,0.0,True,True,163029,-0.00649993506252118,-0.011085947319105598,-0.0018342254840345512,False,0.008678225157402242,0.013885160251843586,True,False
IGV,269324,0.02475920977588617,0.021088965409678678,0.028941639407983676,True,0.0,0.0,True,True,269324,0.005976474699973869,0.002405562457625849,0.00979980029522908,True,0.001924839419593427,0.0024442405328170503,True,True,269324,-0.002613860708183577,-0.006434630838865422,0.0007344807197384539,False,0.17494123131814132,0.22214759532462391,False,False
INDA,232197,0.07158865122318663,0.06668358688615394,0.07655254897678891,True,0.0,0.0,True,True,232197,0.019402494250237348,0.014918544575387143,0.024018451351410883,True,0.0,0.0,True,True,232197,-0.006780178044851427,-0.011053108122643372,-0.002585660331416366,False,0.0010862750094093876,0.001810458349015646,True,False
IPO,95540,0.02675590182492497,0.019282994672195963,0.03421610069795708,True,2.220446049250313e-16,2.691449756667046e-16,True,True,95540,-0.008418884769533114,-0.015480242849340095,-0.0020409861382173987,False,0.00926140203416459,0.011225941859593443,True,False,95540,0.012244490387624207,0.005886906151034161,0.01910545034275223,True,0.00015382687600618006,0.00028618953675568385,True,True
ITA,243144,0.017879209540816583,0.013852148240629506,0.022151893225263578,True,0.0,0.0,True,True,243144,0.0010194832247793241,-0.0031652757204399095,0.005393499098760013,False,0.6151745117821736,0.6229615309186568,False,False,243144,0.003698000347502921,-0.0006918691613754629,0.007780255440639636,False,0.06823264619508485,0.09251884229842013,False,False
