symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
LQD,316925,0.19538144646925654,0.19161365232263228,0.19969132903090017,True,0.0,0.0,True,True,316925,0.03737021063528612,0.03367258658825648,0.04134434216644556,True,0.0,0.0,True,True,316925,0.05552033832495314,0.05241930226402407,0.058911458035629825,True,0.0,0.0,True,True
MCHI,192001,0.10880679353387294,0.10329515894545242,0.11406294684979731,True,0.0,0.0,True,True,192001,0.009078387975328084,0.004042296037608862,0.013967623554968204,True,6.94924829029997e-05,7.314998200315758e-05,True,True,192001,0.03537039014008882,0.03109213259175576,0.039566620060637867,True,0.0,0.0,True,True
MTUM,212273,0.20554815217058592,0.20119315018055384,0.2101269726200577,True,0.0,0.0,True,True,212273,0.019066597579004894,0.014785979129733427,0.02412189763631777,True,0.0,0.0,True,True,212273,0.06854937020156178,0.06438626431803887,0.07223776177262267,True,0.0,0.0,True,True
MUB,305598,0.26496912553605484,0.2602028691814461,0.2698602158721246,True,0.0,0.0,True,True,305598,0.0940151930946395,0.09003552610839206,0.09814009827856458,True,0.0,0.0,True,True,305598,0.04085152074874588,0.037417739026777815,0.044633115060934106,True,0.0,0.0,True,True
OIH,271557,0.21821067319725249,0.21389613051482037,0.22248629494715902,True,0.0,0.0,True,True,271557,0.010007357897118273,0.0056434497726506865,0.013666841801262328,True,1.837637182422469e-07,1.9866347918080747e-07,True,True,271557,0.07426372280130537,0.07093233886485074,0.07801164416587839,True,0.0,0.0,True,True
PFF,163042,0.24531809240691663,0.2383989291230684,0.2516360676346132,True,0.0,0.0,True,True,163042,0.08698124869908763,0.08069970713587346,0.09246276072166626,True,0.0,0.0,True,True,163042,0.047409423434994526,0.04060952938652508,0.054441025296819955,True,0.0,0.0,True,True
PPLT,222231,0.1557601131070482,0.15046317347111773,0.1613293657576285,True,0.0,0.0,True,True,222231,0.05331512854791036,0.04892553639220786,0.057797876695151254,True,0.0,0.0,True,True,222231,0.021067208858650165,0.01617596450238259,0.02692170854204198,True,0.0,0.0,True,True
QQQ,316890,0.22472038405792116,0.22116009990306174,0.2283284227623254,True,0.0,0.0,True,True,316890,0.0360018258467679,0.032475998495764845,0.03966912645710245,True,0.0,0.0,True,True,316890,0.06995151717148809,0.06664234714184539,0.0731708226416173,True,0.0,0.0,True,True
QUAL,208232,0.20310250505037747,0.19869478383413214,0.20734341746951004,True,0.0,0.0,True,True,208232,0.02191953537754994,0.017309982968877913,0.02673751567723184,True,0.0,0.0,True,True,208232,0.06973562642284581,0.0651654359484989,0.07377192561461053,True,0.0,0.0,True,True
RSP,316428,0.19306126149840525,0.18931901655219038,0.19671619761278056,True,0.0,0.0,True,True,316428,0.02416447146930409,0.02111870315059043,0.027666606588252686,True,0.0,0.0,True,True,316428,0.06868735249688598,0.06550194573338408,0.07176481915853988,True,0.0,0.0,True,True
SCHD,269530,0.24208732123008653,0.2372363735699561,0.24698587139391914,True,0.0,0.0,True,True,269530,0.05247082256701725,0.04790804223618897,0.05675557634306448,True,0.0,0.0,True,True,269530,0.03742823886175148,0.03088971512055968,0.04393612228879091,True,0.0,0.0,True,True
SDOG,195907,0.1632734274386293,0.15859880057534165,0.16813679844544016,True,0.0,0.0,True,True,195907,0.013724786707486043,0.009316804673513536,0.018177150192392345,True,1.2396630388877838e-09,1.377403376541982e-09,True,True,195907,0.05023908333132604,0.046073134471983905,0.05495574796830575,True,0.0,0.0,True,True
SHY,162997,0.27836694364396936,0.26898858844421647,0.2878453298935134,True,0.0,0.0,True,True,162997,0.1898966393131056,0.18188151466120278,0.1971083255270856,True,0.0,0.0,True,True,162997,-0.00047995819292938205,-0.012070493715488453,0.011546195381116986,False,0.8463548008089781,0.8463548008089781,False,False
SLV,316936,0.18943278072216008,0.18575749040867806,0.1933646375238359,True,0.0,0.0,True,True,316936,0.05674645335645189,0.05350401072124964,0.06058258967399572,True,0.0,0.0,True,True,316936,0.04571685895796778,0.042633107472301104,0.048968200061015155,True,0.0,0.0,True,True
SMH,272011,0.21502939444552127,0.21112726257192924,0.21930349053997286,True,0.0,0.0,True,True,272011,0.02740570521288103,0.02339448580114749,0.03132189541619541,True,0.0,0.0,True,True,272011,0.06698865410130339,0.06352084558099087,0.07030951890513035,True,0.0,0.0,True,True
