symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
SMH,90892,0.3519370051298316,0.3453831308042817,0.35845224855247615,True,0.0,0.0,True,True,90892,0.08564403521887529,0.08038461795960013,0.09233409821758966,True,0.0,0.0,True,True
SPHB,83133,0.23272119794520366,0.22533410605018317,0.2398824435778971,True,0.0,0.0,True,True,83133,0.0679523414796407,0.06132022304886629,0.07441575234725979,True,0.0,0.0,True,True
SPY,98731,0.2937376308639647,0.2871972454882035,0.30054611632415495,True,0.0,0.0,True,True,98731,0.07296731523851198,0.06729162876094286,0.07946834211243657,True,0.0,0.0,True,True
TIP,98734,0.34125789990317884,0.33571801836182835,0.3472039955662982,True,0.0,0.0,True,True,98734,0.07606566747941307,0.07103243070627001,0.08178074499341735,True,0.0,0.0,True,True
TLT,64131,0.3294818141323317,0.3220455563089953,0.3365727098253723,True,0.0,0.0,True,True,64131,0.06865986991089516,0.061809394305352386,0.07545933904724773,True,0.0,0.0,True,True
USMV,88670,0.3558740127790308,0.3493103855472872,0.36210764876990087,True,0.0,0.0,True,True,88670,0.08352751503748661,0.0778178320876342,0.08951909901797987,True,0.0,0.0,True,True
UUP,98450,0.20707795152111383,0.20005388806527064,0.21287362518268857,True,0.0,0.0,True,True,98450,0.026549959598259294,0.01967533989713903,0.03290598985854385,True,0.0,0.0,True,True
VNQ,98734,0.38176189857534437,0.376512513626645,0.38721783721757547,True,0.0,0.0,True,True,98734,0.09554736254374059,0.09015532523438702,0.10142482212287555,True,0.0,0.0,True,True
VTV,98732,0.2879219353547416,0.28159690281214006,0.2949162203442854,True,0.0,0.0,True,True,98732,0.07028809960329602,0.06460150337970182,0.0767184712432468,True,0.0,0.0,True,True
VUG,98733,0.35934583976220563,0.35359359358958814,0.3645795245396841,True,0.0,0.0,True,True,98733,0.08196022020176208,0.07630118549634644,0.08776055841942207,True,0.0,0.0,True,True
VWO,98733,0.22877662272162944,0.22212207919972593,0.23651643808270767,True,0.0,0.0,True,True,98733,0.0616696598217337,0.055749684984510495,0.06797892384255169,True,0.0,0.0,True,True
VYM,98718,0.28558679139262594,0.2785882199742798,0.29210465114105494,True,0.0,0.0,True,True,98718,0.068268693943087,0.06242139576088568,0.0742632072975603,True,0.0,0.0,True,True
XBI,98493,0.38614240033210107,0.38049049489075837,0.3920955014573673,True,0.0,0.0,True,True,98493,0.09913525026165106,0.09423784260630796,0.10461264949663113,True,0.0,0.0,True,True
XHB,98733,0.367732208392963,0.3613863451581269,0.37385470320225933,True,0.0,0.0,True,True,98733,0.09433522503599166,0.08891341803165762,0.0997737734881249,True,0.0,0.0,True,True
