iShares Russell 3000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VLO","VALERO ENERGY CORP","Energy","Equity","31,127,324.85","0.15","31,127,324.85","81,283.00","382.95","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","30,696,282.15","0.15","30,696,282.15","33,697.00","910.95","United States","NYSE","USD","1.00","USD","-"
"SNOW","SNOWFLAKE","Information Technology","Equity","30,637,020.05","0.15","30,637,020.05","92,183.00","332.35","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","30,611,121.73","0.15","30,611,121.73","154,469.00","198.17","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","30,469,687.98","0.15","30,469,687.98","110,146.00","276.63","United States","NASDAQ","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","29,714,495.52","0.15","29,714,495.52","188,472.00","157.66","United States","NYSE","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","29,547,874.08","0.15","29,547,874.08","55,816.00","529.38","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","29,484,521.60","0.15","29,484,521.60","111,011.00","265.60","United States","NASDAQ","USD","1.00","USD","-"
"NET","CLOUDFLARE CLASS A","Information Technology","Equity","28,761,471.96","0.14","28,761,471.96","87,061.00","330.36","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","28,502,555.74","0.14","28,502,555.74","110,879.00","257.06","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","28,338,543.78","0.14","28,338,543.78","166,521.00","170.18","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP CLASS A","Financials","Equity","28,001,967.78","0.14","28,001,967.78","99,843.00","280.46","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","27,443,454.54","0.14","27,443,454.54","395,781.00","69.34","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT","Real Estate","Equity","27,018,372.16","0.13","27,018,372.16","27,053.00","998.72","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","27,004,236.36","0.13","27,004,236.36","430,827.00","62.68","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","26,982,454.24","0.13","26,982,454.24","111,167.00","242.72","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","26,975,568.00","0.13","26,975,568.00","310,064.00","87.00","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER","Health Care","Equity","26,924,222.40","0.13","26,924,222.40","95,520.00","281.87","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE","Financials","Equity","26,399,387.91","0.13","26,399,387.91","205,779.00","128.29","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","25,857,954.98","0.13","25,857,954.98","60,698.00","426.01","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","25,616,555.58","0.13","25,616,555.58","215,229.00","119.02","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","25,553,825.64","0.13","25,553,825.64","41,082.00","622.02","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","25,436,928.30","0.13","25,436,928.30","75,002.00","339.15","United States","NASDAQ","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","25,306,764.48","0.13","25,306,764.48","59,652.00","424.24","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","25,136,752.32","0.12","25,136,752.32","105,888.00","237.39","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","25,106,222.03","0.12","25,106,222.03","70,363.00","356.81","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE","Industrials","Equity","25,040,628.24","0.12","25,040,628.24","110,248.00","227.13","United States","NYSE","USD","1.00","USD","-"
"CSX","CSX","Industrials","Equity","24,954,615.65","0.12","24,954,615.65","510,215.00","48.91","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","24,559,939.75","0.12","24,559,939.75","155,689.00","157.75","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","24,486,652.00","0.12","24,486,652.00","133,880.00","182.90","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS","Energy","Equity","24,263,410.70","0.12","24,263,410.70","337,226.00","71.95","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CLASS A","Communication","Equity","24,232,970.72","0.12","24,232,970.72","973,994.00","24.88","United States","NASDAQ","USD","1.00","USD","-"
