iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 23, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,139,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CSX","CSX","Industrials","Equity","1,160,122,168.92","0.13","1,160,122,168.92","24,584,068.00","47.19","United States","NASDAQ","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,156,974,033.80","0.13","1,156,974,033.80","3,369,860.00","343.33","United States","NYSE","USD","1.00","USD","-"
"WMB","WILLIAMS","Energy","Equity","1,154,289,519.50","0.13","1,154,289,519.50","16,232,450.00","71.11","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,153,898,949.96","0.13","1,153,898,949.96","4,372,817.00","263.88","United States","NASDAQ","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,147,158,907.04","0.13","1,147,158,907.04","2,878,259.00","398.56","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","1,144,309,653.57","0.13","1,144,309,653.57","7,402,223.00","154.59","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CLASS A","Communication","Equity","1,133,558,926.50","0.13","1,133,558,926.50","3,595,746.00","315.25","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","1,129,717,768.20","0.13","1,129,717,768.20","3,654,980.00","309.09","United States","NASDAQ","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","1,117,715,365.77","0.13","1,117,715,365.77","4,444,373.00","251.49","United States","NASDAQ","USD","1.00","USD","-"
"LITE","LUMENTUM HOLDINGS","Information Technology","Equity","1,101,464,114.00","0.12","1,101,464,114.00","1,175,522.00","937.00","United States","NASDAQ","USD","1.00","USD","-"
